"","IDDate","SampleNo","Animal.ID","Date","Month","Time","Initials","Assay.date","ul.sample","ul.buffer","NEO.Dilution.factor","NEO.Result..nmol.L.","NEO.DF","Creatinine..mg.ml.","CR.Dilution.factor","CR.DF","NEO.CR","RelRank"
"104","0G842061",148,"0G8",2015-02-26,2,"1:25 PM","LR","10/25/16",10,190,20,7.636,152.72,0.024,10,0.24,161.1196,0.519230769
"105","8D642061",149,"8D6",2015-02-26,2,"11:24 AM","LR","12/5/16",5,195,40,29.378,1175.12,0.106,10,1.06,280.69848,0.461538462
"106","8D642062",150,"8D6",2015-02-27,2,"7:30 AM","LR","12/5/16",10,790,80,21.446,1715.68,0.056,40,2.24,193.93311,0.461538462
"107","1E542062",151,"1E5",2015-02-27,2,"10:20 AM","CR","10/25/16",5,95,20,30.447,608.94,0.056,10,0.56,275.32787,0.480769231
"108","0J142062",152,"0J1",2015-02-27,2,"11:45 AM","CR","10/25/16",10,190,20,10.77,215.4,0.015,10,0.15,363.5952,0.346153846
"109","9F942062",153,"9F9",2015-02-27,2,"12:46 PM","CR","12/5/16",10,190,20,2.562,51.24,0.01,10,0.1,129.73968,0.403846154
"110","3I342062",154,"3I3",2015-02-27,2,"2:00 PM","CR","12/5/16",10,390,40,26.624,1064.96,0.095,10,0.95,283.83987,0.230769231
"111","5G242065",155,"5G2",2015-03-02,3,"7:57 AM","CR","10/25/16",10,190,20,23.191,463.82,0.128,10,1.28,91.74939,0.596153846
"112","3I242065",156,"3I2",2015-03-02,3,"9:19 AM","CR","12/5/16",10,190,20,5.405,108.1,0.027,10,0.27,101.37378,0.269230769
"113","0J842065",157,"0J8",2015-03-02,3,"10:17 AM","CR","12/5/16",10,790,80,19.927,1594.16,0.061,40,2.44,165.42677,0.615384615
"114","6I142065",158,"6I1",2015-03-02,3,"10:44 AM","CR","10/25/16",5,95,20,4.228,84.56,0.012,10,0.12,178.4216,0.365384615
"115","2J942065",159,"2J9",2015-03-02,3,"12:08 PM","CR","12/5/16",5,395,80,41.923,3353.84,0.145,10,1.45,585.64985,0.557692308
"116","0G842065",160,"0G8",2015-03-02,3,"1:01 PM","CR","10/25/16",5,95,20,10.657,213.14,0.037,10,0.37,145.85689,0.519230769
"117","4I842065",161,"4I8",2015-03-02,3,"1:00 PM","LR","12/5/16",10,790,80,17.108,1368.64,0.163,10,1.63,212.60101,0.307692308
"118","3I542065",162,"3I5",2015-03-02,3,"7:47 AM","LR","10/25/16",10,190,20,29.609,592.18,0.07,10,0.7,214.19997,0.25
"119","6I142065",163,"6I1",2015-03-02,3,"8:45 AM","LR","10/25/16",10,190,20,4.553,91.06,0.014,10,0.14,164.68851,0.365384615
